pop	0.57	0.34	0.42	152112
rock	0.51	0.34	0.41	64099
metal	0.09	0.47	0.15	2519
hip hop	0.30	0.35	0.32	52096
country	0.52	0.69	0.59	15686
electronic	0.48	0.41	0.45	48060
classical	0.43	0.49	0.46	13158
jazz	0.25	0.36	0.30	13939
rap	0.07	0.87	0.12	1635
indie	0.03	0.70	0.06	483
latin	0.93	0.45	0.60	86401
ethnic	0.14	0.31	0.19	4129
reggae	0.22	0.27	0.24	3534
worship	0.85	0.67	0.75	15021
ambient	0.08	0.42	0.13	2537
children	0.62	0.46	0.52	6103
radio	0.09	0.84	0.16	829
soundtrack	0.26	0.35	0.30	8339
other	0.29	0.49	0.36	68302
weighted avg	0.53	0.41	0.44	558982
